Alloy,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
HfCrNbTiW,4.8,0.066381077,0.252441692,-5.664,6.220780097,3.006,165.7,256.83,120.13,68.35,66.02,165.7,66.95,177.02,0.32,165.7,66.94,176.98,0.32,165.7,66.95,177,0.32,0
HfCrNbWV,5,0.059719973,0.22766665,-5.312,7.027977858,2.97,180.31,288.76,126.09,81.34,61.96,180.31,69.71,185.26,0.33,180.31,68.49,182.37,0.33,180.31,69.1,183.82,0.33,0.01
HfCrNbVZr,4.6,0.057477839,0.241786523,-3.488,10.40393084,3.038,133.89,201.28,100.19,50.55,50,133.89,50.22,133.91,0.33,133.89,50.21,133.9,0.33,133.89,50.21,133.9,0.33,0
HfCrTaWV,4.8,0.044732951,0.177880629,-1.248,28.69809943,2.976,184.73,290.69,131.74,79.48,72.16,184.73,75.08,198.38,0.32,184.73,74.92,197.99,0.32,184.73,75,198.18,0.32,0
HfCrTiWV,5,0.050015122,0.22328124,-4.448,8.295656092,2.952,166.29,257.08,120.9,68.09,66.93,166.29,67.39,178.12,0.32,166.29,67.39,178.1,0.32,166.29,67.39,178.11,0.32,0
HfCrTiVZr,5.2,0.025568182,0.194629561,-5.184,7.52260768,3.021,120.91,171.58,95.58,38,56.22,120.91,48.93,129.35,0.32,120.91,47.18,125.24,0.33,120.91,48.06,127.3,0.32,0.02
HfMoNbTaW,4.8,0.04288446,0.219396234,-2.784,13.63271933,3.057,194.14,310.77,135.83,87.47,75.16,194.14,80.09,211.22,0.32,194.14,79.65,210.2,0.32,194.14,79.87,210.71,0.32,0
HfMoNbTiW,5,0.050015122,0.232253474,-4.432,8.651672363,3.043,177.18,277.88,126.82,75.53,70.13,177.18,72.29,190.9,0.32,177.18,72.19,190.68,0.32,177.18,72.24,190.79,0.32,0
HfMoNbWV,5.2,0.08565436,0.160571047,-5.36,6.05983509,3.01,187.04,304.19,128.46,87.86,66.18,187.04,74.85,198.12,0.32,187.04,73.42,194.78,0.33,187.04,74.14,196.45,0.32,0.01
HfMoTaTiW,4.8,0.093835626,0.103569854,-4.768,6.593332313,3.047,182.43,280.82,133.23,73.79,79.45,182.43,77.19,202.94,0.31,182.43,77.09,202.71,0.31,182.43,77.14,202.83,0.31,0
HfMoTiWV,5,0.084466759,0.077568937,-4.32,7.7627612,2.995,175.73,274.39,126.4,74,70.29,175.73,71.77,189.52,0.32,175.73,71.73,189.41,0.32,175.73,71.75,189.47,0.32,0
HfMoWVZr,5.2,0.085193876,0.199794233,-6.272,5.519607557,3.047,165.35,259.76,118.15,70.8,64.42,165.35,66.97,177.02,0.32,165.35,66.83,176.68,0.32,165.35,66.9,176.85,0.32,0
HfNbTaTiV,5,0.096941271,0.191675919,-6.272,5.074574263,3.065,145.56,202.79,116.94,42.93,66.37,145.56,56.99,151.23,0.33,145.56,54.47,145.28,0.33,145.56,55.73,148.26,0.33,0.02
HfNbTaWZr,5.2,0.08565436,0.167635287,-5.344,6.348400018,3.127,162.53,238.86,124.36,57.25,72.76,162.53,66.55,175.68,0.32,162.53,65.64,173.57,0.32,162.53,66.1,174.62,0.32,0.01
HfNbTiWZr,5.4,0.085372038,0.205950995,-5.216,6.711982344,3.116,147.19,208.78,116.4,46.19,67.49,147.19,58.97,156.06,0.32,147.19,56.98,151.4,0.33,147.19,57.97,153.74,0.33,0.02
HfTaTiWV,4.8,0.093835626,0.100003269,-5.04,6.52423454,3.033,163.56,239.1,125.79,56.66,77.11,163.56,68.93,181.32,0.32,163.56,67.38,177.74,0.32,163.56,68.16,179.53,0.32,0.01
HfTaWVZr,5,0.096249857,0.2306289,-7.152,4.749159997,3.085,158.17,231.31,121.59,54.86,72.18,158.17,65.25,172.1,0.32,158.17,64.09,169.39,0.32,158.17,64.67,170.74,0.32,0.01
HfCrMoNbTi,5.2,0.085193876,0.207446642,-6.24,5.779505162,2.998,158.17,250.61,111.94,69.34,56.93,158.17,61.89,164.26,0.33,158.17,61.32,162.91,0.33,158.17,61.61,163.58,0.33,0
HfCrMoTaTi,5.2,0.076275394,0.165858535,-4.336,7.724241146,3.004,163.54,253.56,118.53,67.52,66.84,163.54,67.11,177.11,0.32,163.54,67.11,177.11,0.32,163.54,67.11,177.11,0.32,0
HfCrMoTaV,5.4,0.050461978,0.13528883,-4.496,7.916020802,2.968,174.08,281.28,120.47,80.4,63.09,174.08,70.02,185.22,0.32,174.08,69.04,182.93,0.32,174.08,69.53,184.07,0.32,0.01
HfCrMoTiV,5.6,0.044228458,0.167704583,-3.808,9.630850771,2.941,163.83,256.04,117.73,69.15,56.69,163.83,61.68,164.4,0.33,163.83,61.1,163.02,0.33,163.83,61.39,163.71,0.33,0
HfCrMoWZr,5,0.075890056,0.084914579,-3.616,9.553850087,3.026,169.86,278.46,115.56,81.45,65.45,169.86,71.85,188.92,0.31,169.86,71.03,187.03,0.32,169.86,71.44,187.98,0.32,0.01
HfCrNbTaW,5.2,0.07589145,0.204527931,-5.168,6.894460551,3.025,182.22,288.51,129.07,79.72,70.76,182.22,74.34,196.33,0.32,182.22,74.09,195.74,0.32,182.22,74.22,196.03,0.32,0
HfCrNbTaZr,5.4,0.050516365,0.176976881,-5.344,7.060009738,3.094,142.92,210.31,109.23,50.54,60.65,142.92,56.61,150.02,0.33,142.92,56.16,148.96,0.33,142.92,56.38,149.49,0.33,0
HfCrNbTiZr,5.2,0.076275394,0.172615594,-4.288,8.147724633,3.078,125.47,178.55,98.92,39.82,56.03,125.47,49.54,131.34,0.33,125.47,48.18,128.14,0.33,125.47,48.86,129.74,0.33,0.01
HfCrTaTiW,5.4,0.075097649,0.211043074,-3.76,9.580131233,3.01,171.98,261.3,127.32,66.99,76.23,171.98,72.54,190.79,0.32,171.98,72.25,190.12,0.32,171.98,72.39,190.45,0.32,0
HfCrTaTiZr,5.6,0.044228458,0.180131167,-3.456,11.02992284,3.084,130.83,181.26,105.61,37.82,65.28,130.83,54.3,143.1,0.32,130.83,50.59,134.44,0.33,130.83,52.44,138.79,0.32,0.04
HfCrTaVZr,5.2,0.07589145,0.211963202,-5.104,7.26404893,3.044,139.01,203.82,106.6,48.61,60.46,139.01,55.72,147.46,0.32,139.01,55.09,145.98,0.32,139.01,55.4,146.72,0.32,0.01
HfCrWVZr,4.8,0.075289861,0.192626241,-2.432,13.71428807,3.009,153.91,239.74,110.99,64.37,60.8,153.91,62.23,164.51,0.32,153.91,62.18,164.4,0.32,153.91,62.2,164.46,0.32,0
HfMoNbTaV,5,0.06708084,0.169383962,-2.544,13.93524706,3.041,169.99,264.38,122.8,70.79,63.2,169.99,66.24,175.87,0.33,169.99,66.03,175.39,0.33,169.99,66.13,175.63,0.33,0
HfMoNbTiV,5.2,0.06956842,0.210654925,-4.976,7.342266624,3.023,153.83,232.64,114.43,59.11,57.23,153.83,57.98,154.52,0.33,153.83,57.96,154.49,0.33,153.83,57.97,154.5,0.33,0
HfMoNbWZr,4.6,0.068581542,0.092091104,0.848,40.57495389,3.091,169.09,266.08,120.59,72.74,65.15,169.09,68.18,180.32,0.32,169.09,67.99,179.85,0.32,169.09,68.08,180.08,0.32,0
HfMoTaTiV,4.8,0.074048527,0.232694248,-3.824,9.281226755,3.028,159,235.4,120.81,57.3,67.4,159,63.36,167.79,0.32,159,62.96,166.85,0.33,159,63.16,167.32,0.32,0
HfMoTaWV,5,0.06604598,0.210136599,-3.952,9.511521009,3.014,192.15,306.91,134.77,86.07,75.64,192.15,79.81,210.32,0.32,192.15,79.49,209.58,0.32,192.15,79.65,209.95,0.32,0
HfMoTaVZr,4.8,0.075289861,0.196848253,-2.656,13.10176288,3.081,150.87,224.69,113.95,55.37,63.35,150.87,60.16,159.31,0.32,150.87,59.9,158.69,0.32,150.87,60.03,159,0.32,0
HfMoTiVZr,5,0.079481547,0.246040031,-5.248,6.837296574,3.065,135.04,193.94,105.59,44.18,58.4,135.04,52.71,139.93,0.33,135.04,51.74,137.64,0.33,135.04,52.23,138.79,0.33,0.01
HfNbTaTiZr,5.2,0.06956842,0.220326816,-4.896,7.75740448,3.153,134.47,178.15,112.63,32.76,69.15,134.47,54.59,144.26,0.32,134.47,47.88,128.39,0.34,134.47,51.24,136.39,0.33,0.07
HfNbTaVZr,4.8,0.074048527,0.238248776,-4.032,9.160849386,3.117,140.66,196.91,112.54,42.18,63.44,140.66,54.94,145.82,0.33,140.66,52.8,140.78,0.33,140.66,53.87,143.3,0.33,0.02
HfNbTiVZr,5,0.05755723,0.174239912,-1.92,18.99107398,3.105,123.23,165.52,102.08,31.72,59.8,123.23,48.57,128.78,0.33,123.23,44.16,118.34,0.34,123.23,46.36,123.59,0.33,0.05
HfTaTiWZr,5.2,0.059489749,0.215625386,-3.952,9.500686299,3.12,151.96,210.88,122.5,44.19,76.34,151.96,63.48,167.17,0.32,151.96,59.13,157.03,0.33,151.96,61.31,162.12,0.32,0.04
HfTiWVZr,5.4,0.030835421,0.18561882,-4.688,8.456662152,3.071,141.46,199.22,112.58,43.32,67.28,141.46,57.7,152.38,0.32,141.46,55.09,146.29,0.33,141.46,56.4,149.34,0.32,0.02
HfCrMoNbW,5,0.056504387,0.214554363,-3.248,11.88458268,2.99,192.3,330.2,123.34,103.43,71.74,192.3,84.42,220.92,0.31,192.3,81.76,214.84,0.31,192.3,83.09,217.89,0.31,0.02
HfCrMoNbZr,5.2,0.059489749,0.225077968,-3.84,10.15412653,3.053,148.87,236.78,104.92,65.93,52.28,148.87,57.74,153.39,0.33,148.87,57,151.65,0.33,148.87,57.37,152.52,0.33,0.01
HfCrMoTaZr,5,0.08925705,0.192366175,-5.824,5.725467046,3.058,154.32,240.12,111.42,64.35,61.74,154.32,62.78,165.86,0.32,154.32,62.76,165.8,0.32,154.32,62.77,165.83,0.32,0
HfCrMoTiZr,5.2,0.080585118,0.168741901,-5.712,6.205049018,3.039,138.25,209.31,102.72,53.3,56.31,138.25,55.1,145.92,0.32,138.25,55.06,145.82,0.32,138.25,55.08,145.87,0.32,0
HfCrMoVZr,5.4,0.08187358,0.208458002,-6.944,5.260237644,2.999,147.77,234.82,104.25,65.29,51.72,147.77,57.15,151.86,0.33,147.77,56.41,150.12,0.33,147.77,56.78,150.99,0.33,0.01
HfCrNbTaV,4.8,0.084412303,0.096674268,-3.52,9.772594426,3.002,158.84,244.88,115.82,64.53,59.41,158.84,61.46,163.31,0.33,158.84,61.36,163.07,0.33,158.84,61.41,163.19,0.33,0
HfCrNbTiV,5,0.088309334,0.231829075,-6.992,5.07485449,2.978,146.5,217.37,111.06,53.15,53.84,146.5,53.57,143.24,0.34,146.5,53.56,143.23,0.34,146.5,53.56,143.24,0.34,0
HfCrNbWZr,5.2,0.079849119,0.208968751,-6.896,5.449753844,3.059,156.51,243.67,112.92,65.37,60.71,156.51,62.57,165.64,0.32,156.51,62.49,165.45,0.32,156.51,62.53,165.55,0.32,0
HfCrTaTiV,5,0.08925705,0.19680611,-5.968,5.829466101,2.986,149.98,218.03,115.96,51.04,64.67,149.98,59.22,156.99,0.33,149.98,58.43,155.14,0.33,149.98,58.82,156.07,0.33,0.01
HfCrTaWZr,5.2,0.092203253,0.244302054,-7.36,4.8741989,3.064,161.75,246.86,119.2,63.83,70.03,161.75,67.55,177.88,0.32,161.75,67.41,177.56,0.32,161.75,67.48,177.72,0.32,0
HfCrTiWZr,5.4,0.08187358,0.218293546,-6.784,5.597320728,3.047,145.64,215.74,110.6,52.57,65.18,145.64,60.14,158.58,0.32,145.64,59.47,157.04,0.32,145.64,59.8,157.81,0.32,0.01
HfMoNbTaTi,5,0.088309334,0.23754297,-7.12,5.186589355,3.075,161.89,241.13,122.27,59.43,67.79,161.89,64.45,170.69,0.32,161.89,64.18,170.07,0.32,161.89,64.31,170.38,0.32,0
HfMoNbTaZr,5.2,0.072056473,0.173655142,-4.896,7.44584018,3.123,155.87,232.81,117.4,57.7,64.34,155.87,61.69,163.49,0.33,155.87,61.51,163.08,0.33,155.87,61.6,163.29,0.33,0
HfMoNbTiZr,5.4,0.072676758,0.213486012,-5.728,6.553541154,3.112,139.66,201.96,108.52,46.72,59.02,139.66,54.1,143.74,0.33,139.66,53.4,142.08,0.33,139.66,53.75,142.91,0.33,0.01
HfMoNbVZr,5.6,0.04813473,0.18305015,-6.24,6.352051866,3.076,145.57,221.41,107.65,56.88,53.38,145.57,54.78,146.02,0.33,145.57,54.73,145.9,0.33,145.57,54.75,145.96,0.33,0
HfMoTaTiZr,5.2,0.071362822,0.213433348,-6,6.432182673,3.116,144.81,204.74,114.85,44.95,68.1,144.81,58.84,155.46,0.32,144.81,56.46,149.91,0.33,144.81,57.65,152.69,0.32,0.02
HfMoTaWZr,5.4,0.072676758,0.223095447,-5.536,7.041874521,3.094,174.19,268.99,126.8,71.1,74.23,174.19,72.98,192.11,0.32,174.19,72.95,192.03,0.32,174.19,72.96,192.07,0.32,0
HfMoTiWZr,4.8,0.060688877,0.197181683,-1.216,29.86486226,3.081,157.53,236.9,117.84,59.53,68.45,157.53,64.88,171.15,0.32,157.53,64.58,170.44,0.32,157.53,64.73,170.8,0.32,0
HfNbTaTiW,5,0.067287488,0.247976299,-5.168,7.236749752,3.08,169.14,247.57,129.92,58.83,76.62,169.14,69.5,183.39,0.32,169.14,68.35,180.71,0.32,169.14,68.93,182.05,0.32,0.01
HfNbTaWV,5.2,0.059886092,0.222568038,-5.632,7.013075751,3.047,177.53,271.49,130.55,70.47,72.63,177.53,71.77,189.74,0.32,177.53,71.75,189.7,0.32,177.53,71.76,189.72,0.32,0
HfNbTiWV,4.8,0.058890542,0.239189768,-2.88,13.35206077,3.03,161.06,238.74,122.22,58.26,66.86,161.06,63.42,168.18,0.33,161.06,63.13,167.51,0.33,161.06,63.27,167.84,0.33,0
HfNbWVZr,5,0.067287488,0.255854631,-5.248,7.401801893,3.081,153.1,228.48,115.41,56.53,62.41,153.1,60.06,159.33,0.33,153.1,59.92,159,0.33,153.1,59.99,159.17,0.33,0
HfTaTiVZr,5.2,0.049842041,0.227266237,-4.816,8.411386246,3.109,128.69,167.95,109.06,29.45,68.67,128.69,52.98,139.76,0.32,128.69,44.8,120.42,0.34,128.69,48.89,130.19,0.33,0.08